"Name","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Joey Votto","155","681","547","171","43","2","25","94","112","124","121","5","5","2",".313",".441",".536",".976",".417","4.0","-0.5","6.9","4314"
"Paul Goldschmidt","156","685","585","171","36","3","34","101","114","89","141","4","14","3",".292",".385",".538",".924",".394","3.0","1.0","5.4","9218"
"Edwin Encarnacion","143","619","528","146","33","0","35","98","112","80","74","6","5","1",".277",".375",".538",".913",".391","-4.0","0.1","4.2","2151"
"Prince Fielder","156","677","584","169","36","1","33","97","113","76","105","12","1","0",".289",".380",".524",".904",".385","-4.0","-0.4","4.0","4613"
"Chris Davis","154","671","593","161","37","1","41","105","119","65","200","8","5","2",".272",".349",".545",".893",".380","-1.0","-0.3","4.2","9272"
"Freddie Freeman","153","667","585","176","35","2","25","91","99","68","129","7","4","1",".301",".376",".496",".872",".377","2.0","-0.2","4.6","5361"
"Brandon Belt","151","643","565","164","37","5","20","82","94","68","132","6","6","2",".290",".370",".480",".850",".369","3.0","-0.2","4.4","10264"
"Albert Pujols","135","591","521","149","32","0","27","84","89","58","70","5","4","1",".286",".359",".503",".862",".366","0.0","-0.1","3.6","1177"
"Mike Napoli","134","566","486","124","32","2","24","78","88","72","174","6","2","1",".255",".357",".477",".834",".363","3.0","-0.5","3.1","3057"
"Allen Craig","133","571","518","158","31","1","18","69","81","42","100","5","3","0",".305",".359",".473",".832",".363","-3.0","0.1","3.2","3433"
"Anthony Rizzo","155","680","597","161","40","2","28","94","98","71","122","8","5","2",".270",".353",".484",".837",".363","7.0","-0.3","3.9","3473"
"Darin Ruf","78","320","274","71","15","0","15","45","48","35","93","7","0","0",".259",".353",".478",".831",".362","-5.0","-0.3","1.2","9929"
"Brandon Moss","136","576","509","132","26","2","29","82","92","56","159","7","4","2",".259",".339",".489",".828",".359","-6.0","-0.4","2.4","4467"
"Eric Hosmer","156","682","618","183","36","3","22","87","90","58","101","1","15","3",".296",".355",".471",".826",".358","1.0","1.2","3.5","3516"
"Nick Swisher","141","608","518","136","31","1","21","75","84","81","126","4","2","1",".263",".363",".448",".811",".356","2.0","-0.6","3.4","4599"
"Chris Carter","143","608","517","121","25","2","32","86","96","80","191","4","3","0",".234",".337",".476",".813",".354","-5.0","0.1","2.0","9911"
"Mark Teixeira","133","570","492","125","27","1","26","75","85","61","104","8","2","0",".254",".340",".472",".812",".352","5.0","-0.1","2.9","1281"
"Adrian Gonzalez","152","659","600","176","38","1","21","78","86","48","102","4","2","0",".293",".346",".465",".811",".349","5.0","-0.2","3.5","1908"
"Corey Hart","121","511","464","124","25","3","21","67","74","39","119","6","3","1",".267",".331",".470",".801",".348","-3.0","-0.2","1.9","1945"
"Matt Adams","134","563","513","142","25","1","24","74","81","42","136","2","1","0",".277",".330",".470",".800",".346","-2.0","-0.3","2.0","9393"
"Yonder Alonso","144","603","535","154","32","2","14","67","75","60","81","2","5","1",".288",".358",".434",".792",".344","3.0","0.1","2.8","2530"
"Adam Dunn","134","566","480","105","17","0","30","77","86","80","180","3","1","0",".219",".332",".442",".774",".340","-4.0","-0.3","0.8","319"
"Mark Trumbo","148","629","577","145","27","2","34","86","96","46","168","3","5","2",".251",".308",".482",".790",".340","-2.0","-0.2","1.8","6876"
"Mike Carp","95","380","337","92","18","1","10","43","47","36","91","4","3","1",".273",".347",".421",".769",".339","-2.0","-0.1","1.0","7480"
"Adam Lind","131","547","491","133","22","1","20","66","73","49","103","1","1","0",".271",".335",".442",".777",".338","-3.0","-0.3","0.9","8027"
"Ryan Howard","118","505","451","115","26","1","22","61","70","43","152","5","0","0",".255",".323",".463",".786",".336","-4.0","-0.4","0.9","2154"
"Ike Davis","118","492","424","102","22","0","19","60","65","64","118","1","2","1",".241",".339",".427",".766",".336","0.0","-0.4","1.6","8433"
"Adam LaRoche","136","557","487","124","23","2","20","65","69","63","120","1","3","1",".255",".338",".433",".771",".335","2.0","-0.3","1.7","1904"
"Josh Satin","72","290","250","68","15","0","4","28","31","36","65","2","1","1",".272",".366",".380",".746",".334","1.0","-0.5","1.3","6788"
"Justin Morneau","125","522","470","125","27","1","18","61","67","41","89","5","0","0",".266",".328",".443",".770",".334","-2.0","-0.4","0.2","1737"
"Logan Morrison","117","482","425","108","22","4","14","53","57","50","85","4","2","1",".254",".336",".424",".760",".332","-6.0","-0.4","0.7","9205"
"Paul Konerko","82","345","306","81","13","0","11","39","43","32","53","4","0","0",".265",".339",".415",".754",".330","-2.0","-0.3","0.3","242"
"Justin Smoak","118","483","425","103","20","0","18","56","60","54","103","2","0","0",".242",".329",".416",".746",".329","0.0","-0.4","1.1","9054"
"Chris Parmelee","81","329","293","76","13","1","9","34","37","31","65","2","2","1",".259",".331",".403",".734",".323","-2.0","-0.3","0.6","2554"
"Mark Reynolds","97","392","344","76","16","0","17","47","50","42","118","4","3","1",".221",".311",".416",".727",".321","-3.0","-0.1","0.3","7619"
"Gaby Sanchez","111","461","398","101","20","0","9","43","47","53","71","5","2","1",".254",".345",".372",".717",".320","2.0","-0.4","1.0","3361"
"James Loney","144","600","554","156","28","0","12","56","62","42","72","0","3","1",".282",".330",".397",".727",".317","6.0","-0.3","1.8","4556"
"Mitch Moreland","131","532","480","121","20","1","18","56","61","43","106","3","1","0",".252",".314",".410",".724",".315","2.0","-0.2","0.1","3086"
"Tyler Moore","68","266","244","62","11","1","9","31","32","17","70","2","1","0",".254",".305",".418",".723",".315","-2.0","0.0","0.2","7244"
"Garrett Jones","120","505","462","116","24","2","14","49","55","37","114","1","4","1",".251",".305",".403",".708",".310","-3.0","0.0","0.0","2714"
"Joey Terdoslavich","60","244","218","56","9","1","5","22","24","21","55","2","2","1",".257",".324",".376",".700",".310","-2.0","-0.2","0.2","10593"
"Brett Wallace","94","388","354","86","14","1","12","38","41","24","115","8","0","0",".243",".304",".390",".694",".307","-2.0","-0.3","0.0","8434"
