Robinson Cano,39.9,0.306,91.0,0.08769231314187521,96.0,0.08312500516573589,24.0,0.33250002066294354,5.0,1.5960000991821288,6.4,1.2468750774860382
Darwin Barney,1.0,0.246,38.0,0.005263157973164006,38.0,0.005263157973164006,5.0,0.04000000059604645,4.0,0.05000000074505806,1.1,0.18181818452748383
Steve Lombardozzi,1.0,0.261,17.0,0.01176470605766072,17.0,0.01176470605766072,1.0,0.20000000298023224,3.0,0.06666666766007741,0.1,2.0000000298023224
Ben Zobrist,15.8,0.271,92.0,0.03434782701989879,75.0,0.042133334477742514,15.0,0.21066667238871256,15.0,0.21066667238871256,5.4,0.5851852010797571
Maicer Izturis,1.0,0.263,33.0,0.006060606150916128,34.0,0.00588235302883036,6.0,0.033333333830038704,5.0,0.04000000059604645,0.4,0.5000000074505806
Jason Kipnis,29.0,0.277,96.0,0.06041666865348816,84.0,0.06904762131827218,19.0,0.30526316793341385,32.0,0.18125000596046448,5.5,1.0545454892245205
Brian Roberts,1.5,0.241,28.0,0.010714286140033178,29.0,0.010344827997273412,7.0,0.04285714456013271,3.0,0.10000000397364299,0.2,1.5000000596046448
Dustin Ackley,1.3,0.268,53.0,0.004905660197419941,58.0,0.004482758456263049,10.0,0.025999999046325682,9.0,0.02888888782925076,1.9,0.1368421002438194
Dan Uggla,1.3,0.219,50.0,0.005199999809265137,54.0,0.00481481463820846,15.0,0.017333332697550455,2.0,0.12999999523162842,1.3,0.19999999266404372
Ryan Flaherty,1.0,0.239,44.0,0.004545454613187097,43.0,0.004651162860005401,11.0,0.018181818452748386,4.0,0.05000000074505806,1.1,0.18181818452748383
Josh Harrison,1.0,0.263,21.0,0.009523809665725344,23.0,0.008695652303488358,4.0,0.05000000074505806,3.0,0.06666666766007741,0.5,0.4000000059604645
Nick Franklin,1.0,0.261,45.0,0.004444444510671827,48.0,0.004166666728754838,10.0,0.020000000298023225,8.0,0.02500000037252903,1.9,0.10526315946328013
Emilio Bonifacio,1.3,0.261,33.0,0.007878787589795662,31.0,0.008387096466556672,1.0,0.25999999046325684,26.0,0.009999999633202186,0.8,0.32499998807907104
Tony Abreu,1.0,0.273,22.0,0.009090909226374193,22.0,0.009090909226374193,3.0,0.06666666766007741,1.0,0.20000000298023224,0.5,0.4000000059604645
Elliot Johnson,1.0,0.231,12.0,0.016666666915019352,12.0,0.016666666915019352,1.0,0.20000000298023224,9.0,0.022222222553359136,-0.1,-2.0000000298023224
Neil Walker,1.1,0.273,67.0,0.0032835820717598075,70.0,0.0031428571258272442,16.0,0.013749999925494194,5.0,0.04399999976158142,3.5,0.06285714251654488
Omar Infante,1.4,0.281,48.0,0.005833333358168602,53.0,0.0052830188904168475,9.0,0.031111111243565876,8.0,0.03500000014901161,2.1,0.1333333339009966
Ian Kinsler,17.1,0.269,92.0,0.03717391387276028,69.0,0.0495652184970137,15.0,0.22800000508626303,19.0,0.1800000040154708,3.4,1.0058823753805721
Jose Altuve,13.8,0.29,77.0,0.035844155720302036,56.0,0.049285714115415304,7.0,0.39428571292332243,35.0,0.07885714258466447,2.7,1.022222218690095
Daniel Murphy,4.1,0.292,80.0,0.010249999910593032,63.0,0.01301587290234036,11.0,0.07454545389522206,17.0,0.04823529369690839,2.7,0.30370370105460837
Brandon Phillips,11.1,0.273,66.0,0.03363636406985196,68.0,0.032647059244268084,17.0,0.13058823697707234,9.0,0.24666666984558105,3.2,0.6937500089406967
Kelly Johnson,1.2,0.237,56.0,0.004285714456013271,60.0,0.0040000001589457195,18.0,0.013333333863152398,8.0,0.030000001192092896,1.6,0.15000000596046448
Chase Utley,4.5,0.279,76.0,0.011842104949449239,74.0,0.012162161839974893,18.0,0.04999999867545234,8.0,0.11249999701976776,4.5,0.19999999470180935
Howie Kendrick,1.8,0.291,55.0,0.006545454263687134,65.0,0.005538461300042959,12.0,0.02999999870856603,9.0,0.03999999827808804,3.3,0.10909090439478557
Jeff Keppinger,1.0,0.27,24.0,0.008333333457509676,26.0,0.007692307806932009,4.0,0.05000000074505806,0.0,0.0,0.1,2.0000000298023224
Gordon Beckham,1.0,0.267,58.0,0.00344827591345228,63.0,0.0031746032219084484,13.0,0.015384615613864018,5.0,0.04000000059604645,2.3,0.08695652303488359
Dustin Pedroia,26.2,0.299,95.0,0.055157897346898126,78.0,0.06717949035840157,14.0,0.37428573199680876,17.0,0.3082353087032543,5.7,0.9192982891149688
Anthony Rendon,1.2,0.282,61.0,0.003934426385848249,66.0,0.003636363780859745,13.0,0.01846153919513409,5.0,0.048000001907348634,3.5,0.06857143129621233
DJ LeMahieu,1.1,0.291,30.0,0.007333333293596904,33.0,0.00666666663054264,1.0,0.2199999988079071,16.0,0.013749999925494194,1.0,0.2199999988079071
Ryan Goins,1.0,0.248,29.0,0.00689655182690456,26.0,0.007692307806932009,4.0,0.05000000074505806,4.0,0.05000000074505806,0.6,0.3333333383003871
Jedd Gyorko,4.7,0.27,78.0,0.012051281256553454,88.0,0.010681817477399652,25.0,0.03759999752044678,5.0,0.18799998760223388,4.0,0.23499998450279236
Freddy Galvis,1.0,0.232,16.0,0.012500000186264515,15.0,0.013333333532015483,3.0,0.06666666766007741,2.0,0.10000000149011612,0.1,2.0000000298023224
Marco Scutaro,1.2,0.288,42.0,0.005714285941351028,45.0,0.005333333545260959,3.0,0.08000000317891438,4.0,0.06000000238418579,1.8,0.13333333863152397
Aaron Hill,7.4,0.283,71.0,0.020845070691175863,71.0,0.020845070691175863,17.0,0.08705882465138155,8.0,0.1850000023841858,3.2,0.4625000059604645
Jurickson Profar,4.4,0.269,61.0,0.014426229430026695,67.0,0.01313432828703923,13.0,0.06769230732550988,14.0,0.06285714251654488,3.0,0.29333333174387616
Danny Espinosa,1.0,0.224,25.0,0.00800000011920929,24.0,0.008333333457509676,6.0,0.033333333830038704,5.0,0.04000000059604645,0.8,0.2500000037252903
Josh Rutledge,1.2,0.265,45.0,0.005333333545260959,51.0,0.004705882539936141,10.0,0.024000000953674317,12.0,0.020000000794728596,1.0,0.24000000953674316
Daniel Descalso,1.5,0.25,20.0,0.015000000596046448,22.0,0.013636364178224043,2.0,0.15000000596046448,4.0,0.07500000298023224,-0.2,-1.5000000596046448
Logan Forsythe,1.0,0.252,34.0,0.00588235302883036,35.0,0.005714285799435207,6.0,0.033333333830038704,8.0,0.02500000037252903,1.0,0.20000000298023224
Alexi Amarista,1.0,0.243,25.0,0.00800000011920929,25.0,0.00800000011920929,4.0,0.05000000074505806,4.0,0.05000000074505806,-0.3,-0.6666666766007742
Matt Carpenter,19.7,0.299,106.0,0.03716981186057037,69.0,0.05710145010464433,11.0,0.3581818233836781,5.0,0.7880000114440918,5.3,0.7433962372114074
Brian Dozier,1.1,0.257,60.0,0.003666666646798452,64.0,0.0034374999813735485,14.0,0.01571428562913622,14.0,0.01571428562913622,2.7,0.0814814810399656
Eric Sogard,1.0,0.258,32.0,0.0062500000931322575,29.0,0.00689655182690456,2.0,0.10000000149011612,9.0,0.022222222553359136,1.0,0.20000000298023224
Kolten Wong,1.4,0.269,39.0,0.007179487210053664,43.0,0.006511627934699835,6.0,0.046666666865348816,17.0,0.016470588305417228,2.0,0.14000000059604645
Jonathan Schoop,1.0,0.259,29.0,0.00689655182690456,29.0,0.00689655182690456,7.0,0.028571428997176036,2.0,0.10000000149011612,0.7,0.28571428997176035
Scooter Gennett,1.3,0.291,53.0,0.004905660197419941,60.0,0.004333333174387614,11.0,0.023636362769386986,12.0,0.02166666587193807,2.4,0.10833332935969035
