Garrett Jones|0.0|49.0|0.0|55.0|0.0|14.0|0.0|4.0|0.0
Joey Votto|38.2|94.0|0.08127659939705058|112.0|0.06821428877966744|25.0|0.3056000137329102|5.0|1.5280000686645507
Gaby Sanchez|0.0|43.0|0.0|47.0|0.0|9.0|0.0|2.0|0.0
Paul Goldschmidt|48.1|101.0|0.09524752361939685|114.0|0.084385963908413|34.0|0.28294117310467887|14.0|0.6871428489685059
Justin Smoak|1.0|56.0|0.0035714286246470044|60.0|0.0033333333830038708|18.0|0.011111111276679568|0.0|Infinity
Nick Swisher|1.2|75.0|0.0032000001271565754|84.0|0.002857142970675514|21.0|0.011428571882702056|2.0|0.12000000476837158
Chris Carter|1.2|86.0|0.002790697785310967|96.0|0.0025000000993410745|32.0|0.007500000298023224|3.0|0.08000000317891438
Freddie Freeman|30.0|91.0|0.06593406593406594|99.0|0.06060606060606061|25.0|0.24|4.0|1.5
Corey Hart|1.1|67.0|0.0032835820717598075|74.0|0.0029729729568636096|21.0|0.010476190419424148|3.0|0.07333333293596904
James Loney|1.3|56.0|0.004642856972558158|62.0|0.004193548233278336|12.0|0.02166666587193807|3.0|0.08666666348775227
Josh Satin|0.0|28.0|0.0|31.0|0.0|4.0|0.0|1.0|0.0
Prince Fielder|38.9|97.0|0.08020618772998299|113.0|0.06884955937883495|33.0|0.23575758211540454|1.0|7.78000020980835
Mike Carp|0.0|43.0|0.0|47.0|0.0|10.0|0.0|3.0|0.0
Anthony Rizzo|11.6|94.0|0.02468085289001465|98.0|0.023673471139401804|28.0|0.08285714898790632|5.0|0.4640000343322754
Joey Terdoslavich|0.0|22.0|0.0|24.0|0.0|5.0|0.0|2.0|0.0
Tyler Moore|0.0|31.0|0.0|32.0|0.0|9.0|0.0|1.0|0.0
Adrian Gonzalez|17.8|78.0|0.045641024907430015|86.0|0.041395348171855126|21.0|0.16952380679902576|2.0|1.7799999713897705
Logan Morrison|0.0|53.0|0.0|57.0|0.0|14.0|0.0|2.0|0.0
Justin Morneau|1.2|61.0|0.003934426385848249|67.0|0.003582089694578256|18.0|0.013333333863152398|0.0|Infinity
Chris Davis|42.5|105.0|0.08095238095238096|119.0|0.07142857142857142|41.0|0.2073170731707317|5.0|1.7
Mark Teixeira|3.2|75.0|0.00853333314259847|85.0|0.007529411596410415|26.0|0.024615384065187894|2.0|0.3199999928474426
Adam Dunn|1.1|77.0|0.0028571428416611314|86.0|0.0025581395210221756|30.0|0.007333333293596904|1.0|0.2199999988079071
Ike Davis|1.0|60.0|0.0033333333830038708|65.0|0.0030769231227728037|19.0|0.010526315946328012|2.0|0.10000000149011612
Paul Konerko|1.0|39.0|0.005128205204621339|43.0|0.004651162860005401|11.0|0.018181818452748386|0.0|Infinity
Mitch Moreland|1.1|56.0|0.003928571407284055|61.0|0.003606557357506674|18.0|0.01222222215599484|1.0|0.2199999988079071
Mark Trumbo|16.4|86.0|0.038139534551043845|96.0|0.03416666636864344|34.0|0.09647058739381678|5.0|0.6559999942779541
Brett Wallace|0.0|38.0|0.0|41.0|0.0|12.0|0.0|0.0|NaN
Matt Adams|4.1|74.0|0.011081080984424901|81.0|0.01012345670182028|24.0|0.03416666636864344|1.0|0.8199999928474426
Chris Parmelee|0.0|34.0|0.0|37.0|0.0|9.0|0.0|2.0|0.0
Yonder Alonso|1.0|67.0|0.0029850746713467498|75.0|0.0026666667064030964|14.0|0.014285714498588018|5.0|0.04000000059604645
Darin Ruf|0.0|45.0|0.0|48.0|0.0|15.0|0.0|0.0|NaN
Mark Reynolds|1.1|47.0|0.0046808510384661085|50.0|0.004399999976158142|17.0|0.012941176400465123|3.0|0.07333333293596904
Allen Craig|20.4|69.0|0.059130433676899345|81.0|0.05037036942846981|18.0|0.22666666242811415|3.0|1.3599999745686848
Adam Lind|1.1|66.0|0.00333333331527132|73.0|0.0030136986138069467|20.0|0.010999999940395355|1.0|0.2199999988079071
Mike Napoli|4.5|78.0|0.011538461232796693|88.0|0.010227272456342524|24.0|0.037499999006589256|2.0|0.44999998807907104
Eric Hosmer|17.7|87.0|0.040689657474386284|90.0|0.03933333555857341|22.0|0.16090910001234573|15.0|0.23600001335144044
Adam LaRoche|1.0|65.0|0.0030769231227728037|69.0|0.0028985507678294525|20.0|0.010000000149011612|3.0|0.06666666766007741
Brandon Belt|6.0|82.0|0.014634146922972144|94.0|0.012765957954082084|20.0|0.06000000238418579|6.0|0.20000000794728598
Ryan Howard|1.7|61.0|0.005573770550430798|70.0|0.004857142908232553|22.0|0.015454545617103577|0.0|Infinity
Brandon Moss|3.9|82.0|0.009512195499931894|92.0|0.008478261206461035|29.0|0.026896552792910873|4.0|0.19500000774860382
Albert Pujols|22.9|84.0|0.05452380861554827|89.0|0.05146067330006803|27.0|0.16962962680392796|4.0|1.1449999809265137
Edwin Encarnacion|32.6|98.0|0.06653060718458526|112.0|0.058214281286512105|35.0|0.18628570011683873|5.0|1.303999900817871
