Alexei Ramirez,2.1,0.271,53.0,0.007924528054471285,60.0,0.006999999781449636,10.0,0.04199999868869782,21.0,0.019999999375570388,2.8,0.1499999953167779
Pedro Florimon,1.0,0.233,40.0,0.005000000074505806,37.0,0.005405405485952222,5.0,0.04000000059604645,13.0,0.015384615613864018,1.1,0.18181818452748383
Xander Bogaerts,4.3,0.28,70.0,0.012285714490073069,76.0,0.011315789661909404,17.0,0.05058823613559499,8.0,0.10750000178813934,4.3,0.20000000332677087
Maicer Izturis,1.0,0.263,33.0,0.006060606150916128,34.0,0.00588235302883036,6.0,0.033333333830038704,5.0,0.04000000059604645,0.4,0.5000000074505806
Tyler Pastornicky,1.0,0.272,21.0,0.009523809665725344,22.0,0.009090909226374193,2.0,0.10000000149011612,6.0,0.033333333830038704,0.2,1.0000000149011612
Jhonny Peralta,1.5,0.28,60.0,0.005000000198682149,65.0,0.004615384798783522,14.0,0.021428572280066355,4.0,0.07500000298023224,3.6,0.08333333664470248
Ian Desmond,24.5,0.287,79.0,0.06202531766287888,89.0,0.05505618084682507,22.0,0.22272727706215598,24.0,0.20416667064030966,5.3,0.9245283198806475
Elvis Andrus,15.2,0.281,53.0,0.057358489846283535,56.0,0.054285713604518344,4.0,0.7599999904632568,38.0,0.0799999989961323,3.4,0.8941176358391257
Elliot Johnson,1.0,0.231,12.0,0.016666666915019352,12.0,0.016666666915019352,1.0,0.20000000298023224,9.0,0.022222222553359136,-0.1,-2.0000000298023224
Brendan Ryan,1.0,0.213,18.0,0.011111111276679568,16.0,0.012500000186264515,2.0,0.10000000149011612,3.0,0.06666666766007741,0.1,2.0000000298023224
Everth Cabrera,9.5,0.271,75.0,0.025333333015441894,44.0,0.04318181763995777,4.0,0.4749999940395355,55.0,0.03454545411196622,3.8,0.4999999937258269
Omar Quintanilla,1.0,0.233,7.0,0.028571428997176036,7.0,0.028571428997176036,0.0,0.0,1.0,0.20000000298023224,-0.1,-2.0000000298023224
Adeiny Hechavarria,1.0,0.253,44.0,0.004545454613187097,44.0,0.004545454613187097,6.0,0.033333333830038704,13.0,0.015384615613864018,0.8,0.2500000037252903
J.J. Hardy,3.7,0.259,66.0,0.011212121356617321,71.0,0.010422535345587932,22.0,0.03363636406985196,2.0,0.3700000047683716,3.0,0.24666666984558105
Jean Segura,24.4,0.285,87.0,0.056091955338401354,61.0,0.08000000187608063,12.0,0.40666667620340985,42.0,0.11619047891525995,3.6,1.3555555873446994
Andrelton Simmons,3.8,0.268,62.0,0.012258064362310594,67.0,0.011343283439750102,14.0,0.054285713604518344,10.0,0.07599999904632568,5.1,0.1490196059731876
Munenori Kawasaki,1.0,0.231,20.0,0.010000000149011612,18.0,0.011111111276679568,1.0,0.20000000298023224,5.0,0.04000000059604645,0.3,0.6666666766007742
Troy Tulowitzki,34.6,0.306,91.0,0.07604395164238227,97.0,0.07134020205625553,27.0,0.25629628146136246,5.0,1.3839999198913575,5.7,1.214035017448559
Derek Jeter,1.6,0.281,57.0,0.005614034962235836,48.0,0.006666666517655055,7.0,0.0457142846924918,6.0,0.05333333214124044,1.2,0.2666666607062022
Zack Cozart,1.4,0.254,57.0,0.0049122807226682965,59.0,0.004745762732069371,14.0,0.020000000085149492,4.0,0.07000000029802322,2.6,0.10769230815080495
Javier Baez,1.0,0.259,22.0,0.009090909226374193,24.0,0.008333333457509676,7.0,0.028571428997176036,6.0,0.033333333830038704,1.0,0.20000000298023224
Pete Kozma,1.0,0.229,16.0,0.012500000186264515,16.0,0.012500000186264515,2.0,0.10000000149011612,4.0,0.05000000074505806,0.2,1.0000000149011612
Starlin Castro,10.0,0.283,86.0,0.023255813953488372,63.0,0.031746031746031744,12.0,0.16666666666666666,17.0,0.11764705882352941,2.8,0.7142857142857143
Jose Iglesias,1.5,0.263,49.0,0.0061224492228761015,44.0,0.0068181820891120215,4.0,0.07500000298023224,12.0,0.025000000993410747,2.5,0.12000000476837158
Ruben Tejada,1.0,0.265,36.0,0.005555555638339784,40.0,0.005000000074505806,2.0,0.10000000149011612,6.0,0.033333333830038704,1.9,0.10526315946328013
Erick Aybar,1.0,0.278,45.0,0.004444444510671827,51.0,0.003921568685886907,6.0,0.033333333830038704,18.0,0.011111111276679568,2.9,0.0689655182690456
Clint Barmes,1.0,0.221,16.0,0.012500000186264515,16.0,0.012500000186264515,3.0,0.06666666766007741,0.0,0.0,0.2,1.0000000149011612
Brad Miller,1.3,0.277,71.0,0.0036619716966655893,72.0,0.003611110978656345,16.0,0.016249999403953552,14.0,0.018571427890232632,4.0,0.06499999761581421
Didi Gregorius,1.0,0.249,38.0,0.005263157973164006,38.0,0.005263157973164006,6.0,0.033333333830038704,2.0,0.10000000149011612,1.0,0.20000000298023224
Stephen Drew,1.0,0.255,54.0,0.0037037037588931896,58.0,0.00344827591345228,12.0,0.016666666915019352,4.0,0.05000000074505806,3.1,0.0645161299936233
Asdrubal Cabrera,6.6,0.265,59.0,0.0223728802244542,67.0,0.019701491540937283,15.0,0.08799999554951986,11.0,0.11999999393116344,2.6,0.5076922820164607
Jimmy Rollins,1.9,0.254,57.0,0.006666666583011025,55.0,0.006909090822393244,11.0,0.03454545411196622,20.0,0.01899999976158142,2.2,0.1727272705598311
Josh Rutledge,1.2,0.265,45.0,0.005333333545260959,51.0,0.004705882539936141,10.0,0.024000000953674317,12.0,0.020000000794728596,1.0,0.24000000953674316
Daniel Descalso,1.5,0.25,20.0,0.015000000596046448,22.0,0.013636364178224043,2.0,0.15000000596046448,4.0,0.07500000298023224,-0.2,-1.5000000596046448
