Alex Rodriguez,1.0,0.229,3.0,0.06666666766007741,4.0,0.05000000074505806,1.0,0.20000000298023224,0.0,0.0,-0.1,-2.0000000298023224
Mike Moustakas,1.1,0.257,56.0,0.003928571407284055,60.0,0.003666666646798452,16.0,0.013749999925494194,4.0,0.054999999701976776,2.6,0.08461538415688734
Luis Valbuena,1.0,0.229,44.0,0.004545454613187097,49.0,0.004081632713882291,11.0,0.018181818452748386,2.0,0.10000000149011612,1.6,0.12500000186264515
Xander Bogaerts,4.3,0.28,70.0,0.012285714490073069,76.0,0.011315789661909404,17.0,0.05058823613559499,8.0,0.10750000178813934,4.3,0.20000000332677087
Maicer Izturis,1.0,0.263,33.0,0.006060606150916128,34.0,0.00588235302883036,6.0,0.033333333830038704,5.0,0.04000000059604645,0.4,0.5000000074505806
Kyle Seager,5.1,0.27,80.0,0.012749999761581421,84.0,0.01214285691579183,21.0,0.04857142766316732,8.0,0.1274999976158142,4.3,0.2372092978898869
Lonnie Chisenhall,1.0,0.247,45.0,0.004444444510671827,45.0,0.004444444510671827,12.0,0.016666666915019352,4.0,0.05000000074505806,1.0,0.20000000298023224
Josh Satin,1.0,0.272,28.0,0.007142857249294009,31.0,0.0064516129993623305,4.0,0.05000000074505806,1.0,0.20000000298023224,1.3,0.15384615613864017
Alberto Callaspo,1.5,0.257,43.0,0.006976744463277417,44.0,0.0068181820891120215,7.0,0.04285714456013271,1.0,0.30000001192092896,1.0,0.30000001192092896
Conor Gillaspie,1.0,0.254,44.0,0.004545454613187097,48.0,0.004166666728754838,11.0,0.018181818452748386,1.0,0.20000000298023224,1.2,0.16666666915019354
Todd Frazier,1.1,0.255,74.0,0.0029729729568636096,80.0,0.002749999985098839,22.0,0.00999999994581396,5.0,0.04399999976158142,3.9,0.056410256104591563
Juan Uribe,1.4,0.249,39.0,0.007179487210053664,42.0,0.006666666695049831,8.0,0.03500000014901161,4.0,0.07000000029802322,2.1,0.1333333339009966
Wilmer Flores,1.0,0.273,29.0,0.00689655182690456,31.0,0.0064516129993623305,7.0,0.028571428997176036,1.0,0.20000000298023224,1.1,0.18181818452748383
Ryan Zimmerman,21.0,0.283,77.0,0.0545454520683784,85.0,0.04941176246194279,23.0,0.18260868735935376,4.0,1.0499999523162842,4.1,1.0243901973817406
David Wright,32.4,0.305,90.0,0.07200000551011827,92.0,0.07043478799902875,22.0,0.2945454770868475,18.0,0.36000002755059135,6.9,0.9391305066537166
Jack Hannahan,1.0,0.24,21.0,0.009523809665725344,22.0,0.009090909226374193,2.0,0.10000000149011612,0.0,0.0,0.3,0.6666666766007742
